curr_stat,yqtr,DEL,PPY,SDQ,CUR,d
CUR,2016Q1,0.0034623868,0.0269423338,0.0000160521,0.9695792274,
PPY,2016Q1,0,1,0,0,
SDQ,2016Q1,0,0,1,0,
CUR,2016Q2,0.0034866247,0.0265355928,0.0000200892,0.9699576933,
PPY,2016Q2,0,1,0,0,
SDQ,2016Q2,0,0,1,0,
CUR,2016Q3,0.0037851419,0.0289174129,0.000024925,0.9672725203,
PPY,2016Q3,0,1,0,0,
SDQ,2016Q3,0,0,1,0,
CUR,2016Q4,0.0034586375,0.0264582495,0.0000270822,0.9700560308,
PPY,2016Q4,0,1,0,0,
SDQ,2016Q4,0,0,1,0,
CUR,2017Q1,0.0036256141,0.0273531794,0.0000342195,0.968986987,
PPY,2017Q1,0,1,0,0,
SDQ,2017Q1,0,0,1,0,
CUR,2017Q2,0.0036794554,0.0279049807,0.0000398115,0.9683757524,
PPY,2017Q2,0,1,0,0,
SDQ,2017Q2,0,0,1,0,
CUR,2017Q3,0.00386357,0.0293658738,0.0000524392,0.9667181171,
PPY,2017Q3,0,1,0,0,
SDQ,2017Q3,0,0,1,0,
CUR,2017Q4,0.0039294121,0.0288249575,0.0000729688,0.9671726615,
PPY,2017Q4,0,1,0,0,
SDQ,2017Q4,0,0,1,0,
CUR,2018Q1,0.003806646,0.0274433232,0.0000902655,0.9686597652,
PPY,2018Q1,0,1,0,0,
SDQ,2018Q1,0,0,1,0,
CUR,2018Q2,0.0043766191,0.030279057,0.0001449237,0.9651994002,
PPY,2018Q2,0,1,0,0,
SDQ,2018Q2,0,0,1,0,
CUR,2018Q3,0.0044961885,0.0303404925,0.0001892355,0.9649740834,
PPY,2018Q3,0,1,0,0,
SDQ,2018Q3,0,0,1,0,
CUR,2018Q4,0.004949569,0.0336215017,0.0002344445,0.9611944848,
PPY,2018Q4,0,1,0,0,
SDQ,2018Q4,0,0,1,0,
CUR,2019Q1,0.0049861728,0.0330998707,0.0002914014,0.9616225551,
PPY,2019Q1,0,1,0,0,
SDQ,2019Q1,0,0,1,0,
CUR,2019Q2,0.0048940687,0.0322894383,0.0003631544,0.9624533387,
PPY,2019Q2,0,1,0,0,
SDQ,2019Q2,0,0,1,0,
CUR,2019Q3,0.004753283,0.0313363084,0.0004339261,0.9634764825,
PPY,2019Q3,0,1,0,0,
SDQ,2019Q3,0,0,1,0,
CUR,2019Q4,0.0043497852,0.0297812416,0.000454414,0.9654145592,
PPY,2019Q4,0,1,0,0,
SDQ,2019Q4,0,0,1,0,
